DesignName,ParticipantID,TrialID,Block1,Block2,D,F,Z
MoMote,2,115,2,25,Phone,Right,Close
MoMote,2,116,2,26,Phone,Back,Normal
MoMote,2,117,2,27,Phone,Right,Normal
MoMote,2,118,2,28,Phone,Bottom,Far
MoMote,2,119,2,29,Phone,Left,Normal
MoMote,2,120,2,30,Phone,Bottom,Close
MoMote,3,121,1,1,Phone,Top,Far
MoMote,3,122,1,2,Phone,Bottom,Normal
MoMote,3,123,1,3,Phone,Back,Far
MoMote,3,124,1,4,Phone,Left,Normal
MoMote,3,125,1,5,Phone,Right,Far
MoMote,3,126,1,6,Phone,Back,Normal
MoMote,3,127,1,7,Phone,Top,Normal
MoMote,3,128,1,8,Phone,Left,Far
MoMote,3,129,1,9,Phone,Left,Close
MoMote,3,130,1,10,Phone,Back,Close
MoMote,3,131,1,11,Phone,Right,Normal
MoMote,3,132,1,12,Phone,Top,Close
MoMote,3,133,1,13,Phone,Bottom,Far
MoMote,3,134,1,14,Phone,Bottom,Close
MoMote,3,135,1,15,Phone,Right,Close
MoMote,3,136,1,16,Phone,Top,Normal
MoMote,3,137,1,17,Phone,Left,Close
MoMote,3,138,1,18,Phone,Bottom,Far
MoMote,3,139,1,19,Phone,Right,Close
MoMote,3,140,1,20,Phone,Left,Normal
MoMote,3,141,1,21,Phone,Top,Close
MoMote,3,142,1,22,Phone,Back,Normal
MoMote,3,143,1,23,Phone,Top,Far
MoMote,3,144,1,24,Phone,Bottom,Close
MoMote,3,145,1,25,Phone,Right,Normal
MoMote,3,146,1,26,Phone,Back,Far
MoMote,3,147,1,27,Phone,Right,Far
MoMote,3,148,1,28,Phone,Back,Close
MoMote,3,149,1,29,Phone,Left,Far
MoMote,3,150,1,30,Phone,Bottom,Normal
MoMote,3,151,2,1,MoMote,Top,Far
MoMote,3,152,2,2,MoMote,Bottom,Normal
MoMote,3,153,2,3,MoMote,Back,Far
MoMote,3,154,2,4,MoMote,Left,Normal
MoMote,3,155,2,5,MoMote,Right,Far
MoMote,3,156,2,6,MoMote,Back,Normal
MoMote,3,157,2,7,MoMote,Top,Normal
MoMote,3,158,2,8,MoMote,Left,Far
MoMote,3,159,2,9,MoMote,Left,Close
MoMote,3,160,2,10,MoMote,Back,Close
MoMote,3,161,2,11,MoMote,Right,Normal
MoMote,3,162,2,12,MoMote,Top,Close
MoMote,3,163,2,13,MoMote,Bottom,Far
MoMote,3,164,2,14,MoMote,Bottom,Close
MoMote,3,165,2,15,MoMote,Right,Close
MoMote,3,166,2,16,MoMote,Top,Normal
MoMote,3,167,2,17,MoMote,Left,Close
MoMote,3,168,2,18,MoMote,Bottom,Far
MoMote,3,169,2,19,MoMote,Right,Close
MoMote,3,170,2,20,MoMote,Left,Normal
MoMote,3,171,2,21,MoMote,Top,Close
MoMote,3,172,2,22,MoMote,Back,Normal
MoMote,3,173,2,23,MoMote,Top,Far
MoMote,3,174,2,24,MoMote,Bottom,Close
MoMote,3,175,2,25,MoMote,Right,Normal
MoMote,3,176,2,26,MoMote,Back,Far
MoMote,3,177,2,27,MoMote,Right,Far
MoMote,3,178,2,28,MoMote,Back,Close
MoMote,3,179,2,29,MoMote,Left,Far
MoMote,3,180,2,30,MoMote,Bottom,Normal
MoMote,4,181,1,1,MoMote,Bottom,Close
MoMote,4,182,1,2,MoMote,Bottom,Far
MoMote,4,183,1,3,MoMote,Left,Close
MoMote,4,184,1,4,MoMote,Left,Far
MoMote,4,185,1,5,MoMote,Top,Close
MoMote,4,186,1,6,MoMote,Back,Far
MoMote,4,187,1,7,MoMote,Top,Far
MoMote,4,188,1,8,MoMote,Right,Close
MoMote,4,189,1,9,MoMote,Left,Normal
MoMote,4,190,1,10,MoMote,Back,Normal
MoMote,4,191,1,11,MoMote,Right,Far
MoMote,4,192,1,12,MoMote,Top,Normal
MoMote,4,193,1,13,MoMote,Back,Close
MoMote,4,194,1,14,MoMote,Bottom,Normal
MoMote,4,195,1,15,MoMote,Right,Normal
MoMote,4,196,1,16,MoMote,Top,Far
MoMote,4,197,1,17,MoMote,Left,Normal
MoMote,4,198,1,18,MoMote,Back,Close
MoMote,4,199,1,19,MoMote,Right,Normal
MoMote,4,200,1,20,MoMote,Left,Far
MoMote,4,201,1,21,MoMote,Top,Normal
MoMote,4,202,1,22,MoMote,Back,Far
MoMote,4,203,1,23,MoMote,Bottom,Close
MoMote,4,204,1,24,MoMote,Bottom,Normal
MoMote,4,205,1,25,MoMote,Right,Far
MoMote,4,206,1,26,MoMote,Left,Close
MoMote,4,207,1,27,MoMote,Top,Close
MoMote,4,208,1,28,MoMote,Back,Normal
MoMote,4,209,1,29,MoMote,Right,Close
MoMote,4,210,1,30,MoMote,Bottom,Far
MoMote,4,211,2,1,Phone,Bottom,Close
MoMote,4,212,2,2,Phone,Bottom,Far
MoMote,4,213,2,3,Phone,Left,Close
MoMote,4,214,2,4,Phone,Left,Far
MoMote,4,215,2,5,Phone,Top,Close
MoMote,4,216,2,6,Phone,Back,Far
MoMote,4,217,2,7,Phone,Top,Far
MoMote,4,218,2,8,Phone,Right,Close
MoMote,4,219,2,9,Phone,Left,Normal
MoMote,4,220,2,10,Phone,Back,Normal
MoMote,4,221,2,11,Phone,Right,Far
MoMote,4,222,2,12,Phone,Top,Normal
MoMote,4,223,2,13,Phone,Back,Close
MoMote,4,224,2,14,Phone,Bottom,Normal
MoMote,4,225,2,15,Phone,Right,Normal
MoMote,4,226,2,16,Phone,Top,Far
MoMote,4,227,2,17,Phone,Left,Normal
MoMote,4,228,2,18,Phone,Back,Close
MoMote,4,229,2,19,Phone,Right,Normal
MoMote,4,230,2,20,Phone,Left,Far
MoMote,4,231,2,21,Phone,Top,Normal
MoMote,4,232,2,22,Phone,Back,Far
MoMote,4,233,2,23,Phone,Bottom,Close
MoMote,4,234,2,24,Phone,Bottom,Normal
MoMote,4,235,2,25,Phone,Right,Far
MoMote,4,236,2,26,Phone,Left,Close
MoMote,4,237,2,27,Phone,Top,Close
MoMote,4,238,2,28,Phone,Back,Normal
MoMote,4,239,2,29,Phone,Right,Close
MoMote,4,240,2,30,Phone,Bottom,Far
MoMote,5,241,1,1,Phone,Bottom,Normal
MoMote,5,242,1,2,Phone,Back,Close
MoMote,5,243,1,3,Phone,Left,Normal
MoMote,5,244,1,4,Phone,Right,Close
MoMote,5,245,1,5,Phone,Top,Normal
MoMote,5,246,1,6,Phone,Left,Close
MoMote,5,247,1,7,Phone,Bottom,Close
MoMote,5,248,1,8,Phone,Right,Normal
MoMote,5,249,1,9,Phone,Left,Far
MoMote,5,250,1,10,Phone,Back,Far
MoMote,5,251,1,11,Phone,Top,Close
MoMote,5,252,1,12,Phone,Top,Far
MoMote,5,253,1,13,Phone,Back,Normal
MoMote,5,254,1,14,Phone,Bottom,Far
MoMote,5,255,1,15,Phone,Right,Far
MoMote,5,256,1,16,Phone,Bottom,Close
MoMote,5,257,1,17,Phone,Left,Far
MoMote,5,258,1,18,Phone,Back,Normal
MoMote,5,259,1,19,Phone,Right,Far
